Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
4.623,0.051,0.029,0.037,0,0.022, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.616,0.044,0.007,0.059,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.587,0,0,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.609,0.044,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.601,0.044,0.022,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,61.54,0
4.609,0,0,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.601,0,0,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.609,0,0.022,0.037,0.015,0.044, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.616,0.007,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.616,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.572,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1833.46,0,0,0,4000,0,0,0
4.638,0,0,0.044,0.015,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.616,0.007,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2435.16,0,0,0,4000,0,0,0
4.631,0,0.007,0.044,0.007,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.579,0,0,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1833.46,0,0,0,4000,0,0,0
4.594,0,0,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.587,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.638,0.051,0.044,0.037,0.007,0.022, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.623,0.007,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.609,0.051,0.015,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.631,0.051,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.623,0.022,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.638,0.051,0.037,0.044,0.007,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.587,0,0,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.029,0,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.044,0.007,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.601,0.044,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1833.46,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.594,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.029,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.594,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.601,0.015,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.623,0.051,0.037,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.601,0.051,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0,0.007,0.051,0.015,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.594,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.594,0,0,0.044,0.007,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.609,0.051,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.609,0.051,0.022,0.051,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.587,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.638,0.007,0.037,0.044,0.007,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.594,0,0,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.616,0.007,0,0.037,0.007,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.623,0.051,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.601,0.022,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.631,0.051,0.022,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.594,0,0,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.594,0,0.007,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.587,0,0,0.037,0.007,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.601,0.044,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0.044,0.007,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.594,0.051,0.022,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.051,0.037,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.029,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.594,0.029,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.594,0.051,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.631,0.022,0.044,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.601,0.044,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.601,0.029,0.015,0.051,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,61.54,0
4.609,0.044,0.007,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.609,0.044,0.007,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.601,0.044,0.007,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.631,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.631,0.007,0.022,0.037,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.623,0.051,0.037,0.037,0.007,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.587,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.616,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.587,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.616,0.051,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.616,0.022,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.609,0.022,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.638,0.051,0.029,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.601,0.044,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,62.52,0
4.623,0.044,0.037,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.601,0,0.007,0.037,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.616,0.022,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.609,0.044,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.616,0.044,0.015,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.051,0.007,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.051,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0.007,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.623,0.051,0.044,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.623,0.051,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.616,0.051,0.015,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.631,0.007,0.051,0.029,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.616,0.007,0.029,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0,0.015,0.044,0.015,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.609,0,0.015,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.616,0.007,0.037,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.609,0.051,0.044,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.609,0.044,0.015,0.037,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.616,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.623,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.022,0.037,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.623,0.022,0.037,0.037,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.609,0,0,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.616,0.022,0.044,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2666.67,0,0,0,4000,0,0,0
4.616,0.007,0.029,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.616,0.051,0.022,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.638,0.051,0.022,0.044,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.631,0.081,0.037,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,62.52,0
4.638,0.051,0.044,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.616,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.623,0.022,0.037,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.616,0.022,0.022,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.579,0.051,0.022,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.579,0.044,0.007,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.623,0.051,0.051,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.623,0.051,0.022,0.051,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,61.54,0
4.601,0,0.007,0.051,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.616,0.022,0.037,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2400,0,0,0,4000,0,0,0
4.609,0.007,0.022,0.029,0.015,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.594,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.623,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.594,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.609,0,0,0.029,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.601,0,0,0.022,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.601,0,0,0.044,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0,0,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.051,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2666.67,0,0,0,4000,0,0,0
4.623,0.051,0.029,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.587,0.029,0,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.623,0.051,0.022,0.051,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.609,0.051,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,60.56,0
4.638,0.051,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.616,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.623,0,0,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2199.76,0,0,0,4000,0,0,0
4.609,0.007,0.015,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.616,0.022,0.037,0.044,0.007,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.601,0,0,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.609,0.022,0.022,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.609,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.587,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.579,0.044,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.579,0.051,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.587,0.051,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.616,0.051,0.044,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2600.24,0,0,0,4000,0,0,0
4.601,0.044,0.007,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2545.54,0,0,0,4000,0,60.56,0
4.623,0.044,0.007,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,61.54,0
4.616,0.051,0.007,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.029,0,0.044,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.594,0,0,0.029,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.616,0.022,0.022,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.616,0.007,0.007,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.609,0.007,0.015,0.037,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.616,0.007,0.022,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.609,0.022,0.015,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.587,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.609,0.007,0.015,0.044,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.609,0.022,0.029,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,60.56,0
4.616,0.022,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2666.67,0,0,0,4000,0,0,0
4.623,0.051,0.029,0.029,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.623,0.022,0.037,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.587,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.587,0.029,0.007,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.579,0.051,0.022,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.565,0.044,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.609,0.022,0.037,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.594,0.022,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.587,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.557,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.587,0,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.579,0,0,0.015,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.594,0,0,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.601,0.022,0.007,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,60.56,0
4.616,0,0,0.051,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.594,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.579,0,0,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.579,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.572,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.623,0.051,0.051,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.601,0.051,0.029,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.616,0.007,0.044,0.044,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.609,0.007,0.029,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.587,0.051,0.037,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.565,0.044,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.587,0.029,0.007,0.029,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,60.56,0
4.601,0.051,0.015,0.029,0,0, ,0.92,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.623,0.051,0.022,0.044,0,0.029, ,1.1,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,60.56,0
4.601,0.044,0.007,0.037,0,0, ,1.16,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.601,0.044,0.015,0.037,0,0, ,1.44,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.594,0.029,0.007,0.029,0,0, ,1.5,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.594,0.029,0.007,0.029,0,0, ,1.44,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.616,0.022,0.029,0.037,0,0.029, ,1.56,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.609,0.022,0.029,0.029,0,0.015, ,1.85,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.022,0.037,0.044,0,0.029, ,2.43,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.609,0.007,0.007,0.044,0,0.029, ,2.37,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.594,0.051,0.029,0.044,0,0.015, ,2.6,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.579,0.051,0.029,0.022,0,0, ,2.77,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.609,0,0,0.044,0,0.007, ,3.47,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.609,0.022,0.037,0.037,0,0.015, ,3.52,0,0,0,0,0,,4000,0,4000,0,2435.16,0,0,0,4000,0,0,0
4.601,0.051,0.044,0.051,0,0, ,3.41,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,61.54,0
4.572,0.051,0.029,0.044,0,0, ,3.47,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,61.54,0
4.587,0.051,0.029,0.022,0,0.015, ,3.41,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.572,0.051,0.022,0.037,0,0, ,3.41,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.601,0.007,0.022,0.037,0,0.007, ,4.22,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.609,0.051,0.037,0.022,0,0, ,4.1,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,0,0
4.601,0.044,0.015,0.007,0,0, ,4.04,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,60.56,0
4.609,0.051,0.044,0.037,0,0.015, ,4.28,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.609,0.051,0.029,0.022,0,0.015, ,4.22,0,0,0,0,0,,4000,0,4000,0,2261.29,0,0,0,4000,0,60.56,0
4.601,0.044,0.015,0.044,0.007,0, ,4.33,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
